ts,symbol,interval,open,high,low,close,volume,source
2026-02-16 07:03:00+00:00,BTC-USD,1m,68385.81,68407.75,68385.81,68403.25,6.97109,binance
2026-02-16 07:04:00+00:00,BTC-USD,1m,68403.25,68443.68,68380.0,68442.24,16.47875,binance
2026-02-16 07:05:00+00:00,BTC-USD,1m,68442.23,68529.59,68442.23,68522.71,16.63843,binance
2026-02-16 07:06:00+00:00,BTC-USD,1m,68522.71,68522.72,68480.0,68486.46,2.52876,binance
2026-02-16 07:07:00+00:00,BTC-USD,1m,68486.45,68529.0,68486.45,68522.04,4.64416,binance
2026-02-16 07:08:00+00:00,BTC-USD,1m,68522.05,68555.43,68510.14,68550.18,9.64822,binance
2026-02-16 07:09:00+00:00,BTC-USD,1m,68550.19,68553.52,68528.45,68540.44,4.17355,binance
2026-02-16 07:10:00+00:00,BTC-USD,1m,68540.43,68540.43,68491.17,68491.17,2.40741,binance
2026-02-16 07:11:00+00:00,BTC-USD,1m,68491.18,68510.11,68486.45,68510.11,2.68382,binance
2026-02-16 07:12:00+00:00,BTC-USD,1m,68510.1,68545.99,68485.85,68545.98,11.35598,binance
2026-02-16 07:13:00+00:00,BTC-USD,1m,68545.98,68620.69,68545.98,68620.68,13.5313,binance
2026-02-16 07:14:00+00:00,BTC-USD,1m,68620.69,68630.89,68600.0,68611.54,7.13547,binance
2026-02-16 07:15:00+00:00,BTC-USD,1m,68611.53,68611.54,68582.17,68582.17,7.71449,binance
2026-02-16 07:16:00+00:00,BTC-USD,1m,68582.18,68606.21,68582.17,68606.21,7.57107,binance
2026-02-16 07:17:00+00:00,BTC-USD,1m,68606.2,68620.22,68603.26,68607.99,3.861,binance
2026-02-16 07:18:00+00:00,BTC-USD,1m,68608.0,68611.32,68579.38,68599.25,10.36563,binance
2026-02-16 07:19:00+00:00,BTC-USD,1m,68599.25,68600.48,68581.07,68581.07,3.57588,binance
2026-02-16 07:20:00+00:00,BTC-USD,1m,68581.08,68595.72,68547.79,68547.79,3.74252,binance
2026-02-16 07:21:00+00:00,BTC-USD,1m,68547.8,68557.13,68539.71,68548.34,3.62924,binance
2026-02-16 07:22:00+00:00,BTC-USD,1m,68548.34,68557.44,68544.6,68554.16,3.41037,binance
2026-02-16 07:23:00+00:00,BTC-USD,1m,68554.16,68574.67,68554.16,68571.39,5.87989,binance
