ticker,cg_id,n_candidates
1000CHEEMS,1000chems,1
AAVE,aave,1
ADA,binance-peg-cardano,2
APT,aptos,1
ARB,arbitrage-loop,2
ASTER,aster-2,2
AVAX,avalanche-2,4
AVNT,avantis,1
BIO,bio-protocol,2
BMT,bitcoin-maxi-tears,3
BNB,binancecoin,2
BONK,based-bonk,4
BTC,batcat,11
CAKE,pancakeswap-token,1
CFX,chain-fox-2,3
CRV,bridged-curve-dao-token-stargate,2
DOGE,binance-peg-dogecoin,7
DOT,binance-peg-polkadot,4
EDEN,eden,3
EIGEN,eigenlayer,1
ENA,ethena,1
ETH,bifrost-bridged-eth-bifrost,13
FET,fetch-ai,1
FIL,binance-peg-filecoin,2
FLOKI,floki,2
FORM,four,2
HBAR,hedera-hashgraph,1
HEMI,hemi,1
ICP,internet-computer,1
LINEA,linea,1
LINK,chainlink,5
LISTA,lista,1
LTC,binance-peg-litecoin,2
MIRA,chains-of-war,3
NEAR,binance-peg-near-protocol,3
OMNI,omni,7
ONDO,ondo-finance,1
OPEN,openfacilitator,4
PAXG,eureka-bridged-pax-gold-terra,2
PENDLE,pendle,1
PENGU,penguiana,2
PEPE,baby-pepe-5,18
PLUME,plume,1
POL,katana-bridged-pol-katana,3
PUMP,big-pump,4
S,agent-s,3
SEI,layerzero-bridged-sei,2
SHIB,binance-peg-shib,8
SOL,allbridge-bridged-sol-near-protocol,12
SOMI,somnia,1
STO,stakestone,1
SUI,sui,1
TAO,bittensor,3
TON,atnt-ondo-tokenized-stock,5
TRUMP,bridged-maga-wormhole,6
TRX,layerzero-bridged-trx-avalanche,4
TUT,tutorial,1
UNI,linea-bridged-uni-linea,5
VIRTUAL,virtual-protocol,1
WIF,dogwifcoin,6
WLD,worldcoin-wld,1
WLFI,stupid-world-liberty-financial,2
XLM,stellar,1
XPL,plasma,2
XRP,binance-peg-xrp,5
ZEC,binance-peg-zcash-token,3
ZEN,zencash,5
