symbol,ADA-USD,ATOM-USD,BAT-USD,BCH-USD,BNB-USD,BTC-USD,DASH-USD,DOGE-USD,ETC-USD,ETH-USD,LINK-USD,LTC-USD,TRX-USD,XRP-USD,ZEC-USD,ZRX-USD
ADA-USD,1.0,0.698155803956602,0.5991392675713462,0.539025563707653,0.7633315670210189,0.7987863736683414,0.47582060191859143,0.8806194400688254,0.851918655963968,0.8187247677723221,0.873928063557606,0.8319956068208466,0.3515700717485499,0.8214706352585904,0.4983219599745133,0.5465164677852972
ATOM-USD,0.698155803956602,1.0,0.5358536995641879,0.44150440988960926,0.6088290236212802,0.6408995932635821,0.4059487508606015,0.6848216492806566,0.7272284639510938,0.6713994962424444,0.7126912073117802,0.6869636551354632,0.28520333457042185,0.6182432760311081,0.37663708860509904,0.4577304699578649
BAT-USD,0.5991392675713462,0.5358536995641879,1.0,0.40946623206801114,0.5498502338370742,0.5783898906271635,0.43999966425096454,0.5906601194510058,0.6210862781737214,0.5891390044507957,0.6108613441385244,0.5972842158696702,0.2494882868124554,0.5541371310004211,0.40382205619015665,0.41300548131569415
BCH-USD,0.539025563707653,0.44150440988960926,0.40946623206801114,1.0,0.5435422974872218,0.5760901854827707,0.3376474327783758,0.5506723223455028,0.5610225316402331,0.570059447375718,0.5732046107874653,0.5840341722889714,0.28815475508056626,0.5414280924310058,0.3606995753897389,0.3265439183192346
BNB-USD,0.7633315670210189,0.6088290236212802,0.5498502338370742,0.5435422974872218,1.0,0.848290108031443,0.4317696274386446,0.783468397859511,0.7467230512499281,0.8421383062129782,0.814746270658689,0.7630255436176749,0.37276044690181376,0.7569846196987452,0.45615228338777497,0.48137783171211534
BTC-USD,0.7987863736683414,0.6408995932635821,0.5783898906271635,0.5760901854827707,0.848290108031443,1.0,0.45906355079487154,0.8013659504737886,0.7832192552484948,0.8929213173476921,0.8483998096332417,0.7841461087537569,0.38517033654315364,0.7918672729758414,0.4658427967187448,0.5048174125619181
DASH-USD,0.47582060191859143,0.4059487508606015,0.43999966425096454,0.3376474327783758,0.4317696274386446,0.45906355079487154,1.0,0.463770392255531,0.4755096017691902,0.4479501059865176,0.4743534336397638,0.4665644510485169,0.19676798847921856,0.4356859888303234,0.5251514591768541,0.33086314129033545
DOGE-USD,0.8806194400688254,0.6848216492806566,0.5906601194510058,0.5506723223455028,0.783468397859511,0.8013659504737886,0.463770392255531,1.0,0.8416848141020064,0.8328161640058322,0.8641153792643419,0.8243146759692453,0.3403396956477279,0.8162137157317426,0.47048448824998534,0.5331824827323646
ETC-USD,0.851918655963968,0.7272284639510938,0.6210862781737214,0.5610225316402331,0.7467230512499281,0.7832192552484948,0.4755096017691902,0.8416848141020064,1.0,0.8053172906133218,0.8587287090211917,0.8354796981812613,0.3520816835530495,0.7648960915725452,0.46900613034625077,0.545709823871505
ETH-USD,0.8187247677723221,0.6713994962424444,0.5891390044507957,0.570059447375718,0.8421383062129782,0.8929213173476921,0.4479501059865176,0.8328161640058322,0.8053172906133218,1.0,0.9019762742320395,0.8011308468414136,0.39588355902323813,0.7896854575555575,0.46616971392246787,0.5221753360480104
LINK-USD,0.873928063557606,0.7126912073117802,0.6108613441385244,0.5732046107874653,0.814746270658689,0.8483998096332417,0.4743534336397638,0.8641153792643419,0.8587287090211917,0.9019762742320395,1.0,0.8470114542250692,0.36975499327743433,0.8091092460333932,0.4863245336651426,0.5395215603671991
LTC-USD,0.8319956068208466,0.6869636551354632,0.5972842158696702,0.5840341722889714,0.7630255436176749,0.7841461087537569,0.4665644510485169,0.8243146759692453,0.8354796981812613,0.8011308468414136,0.8470114542250692,1.0,0.3612596513756713,0.763337943200476,0.49067138989647663,0.5250126422886916
TRX-USD,0.3515700717485499,0.28520333457042185,0.2494882868124554,0.28815475508056626,0.37276044690181376,0.38517033654315364,0.19676798847921856,0.3403396956477279,0.3520816835530495,0.39588355902323813,0.36975499327743433,0.3612596513756713,1.0,0.33715546760569615,0.18388186282124103,0.21148413721783857
XRP-USD,0.8214706352585904,0.6182432760311081,0.5541371310004211,0.5414280924310058,0.7569846196987452,0.7918672729758414,0.4356859888303234,0.8162137157317426,0.7648960915725452,0.7896854575555575,0.8091092460333932,0.763337943200476,0.33715546760569615,1.0,0.45702100794518963,0.4939349310104335
ZEC-USD,0.4983219599745133,0.37663708860509904,0.40382205619015665,0.3606995753897389,0.45615228338777497,0.4658427967187448,0.5251514591768541,0.47048448824998534,0.46900613034625077,0.46616971392246787,0.4863245336651426,0.49067138989647663,0.18388186282124103,0.45702100794518963,1.0,0.3225791208617738
ZRX-USD,0.5465164677852972,0.4577304699578649,0.41300548131569415,0.3265439183192346,0.48137783171211534,0.5048174125619181,0.33086314129033545,0.5331824827323646,0.545709823871505,0.5221753360480104,0.5395215603671991,0.5250126422886916,0.21148413721783857,0.4939349310104335,0.3225791208617738,1.0
