symbol,mean_ret,vol,skew,kurt,p01,p99,tail_1pct,corr_to_mkt,beta_to_mkt,pc1_loading,pc1_abs_loading,mom_7d,mom_30d
1000CHEEMS-USD,-0.0003764466227204471,0.008400805718495608,-0.3957307522507731,5.4493875815219965,-0.024022269864966514,0.022872185933840296,0.046894455798806814,0.5980429779573372,0.7634092777143622,0.09674263517173398,0.09674263517173398,0.0,-0.19629629629629752
AAVE-USD,-0.00020589486830089752,0.007970600225011828,-0.582686643073934,9.485510721663333,-0.022619113285407732,0.02090400506809246,0.04352311835350019,0.8119337852369319,0.9833672429984013,0.13192331131570037,0.13192331131570037,0.0,0.008468468468469714
ADA-USD,-0.00010537801305457797,0.007565280918223704,-0.10611542147305723,6.486963651693934,-0.02361637024287615,0.020542350287372158,0.04415872053024831,0.9125550293121708,1.0490307510791057,0.14870135371010867,0.14870135371010867,0.0,0.07374856706152211
APT-USD,-0.00021029798838594874,0.008711094336365912,-0.32088081728175993,6.016520837889155,-0.024099843773445005,0.02390999237407283,0.04800983614751783,0.8536003875285197,1.1298776491248874,0.13780531650403346,0.13780531650403346,0.0,0.060639470782797966
ARB-USD,-0.0002714499187474995,0.008452805185815357,-0.6913445621200627,8.47832850508174,-0.023789530386880718,0.022623300304948663,0.04641283069182938,0.9075333748694083,1.1656483741435721,0.14657262013775077,0.14657262013775077,0.0,-0.09363636363636241
ASTER-USD,5.999946594672973e-05,0.009237292721367618,-0.2803479611715237,8.002670895793825,-0.023709986514301916,0.026382487830955786,0.0500924743452577,0.7165121509016341,1.0057090613679625,0.11474051358261161,0.11474051358261161,0.0,0.004172461752432133
AVAX-USD,-0.00011217406179100756,0.006894619451171535,-0.2718666794735432,9.471031684501291,-0.019460851053296067,0.02027167249904603,0.039732523552342094,0.8818670680915389,0.9238841623208582,0.14353109901918992,0.14353109901918992,0.0,0.04446978335233487
AVNT-USD,-7.704197999470017e-05,0.013214745377855365,1.4193628575895134,15.490711411303517,-0.036713725356556925,0.040374768299425795,0.07708849365598272,0.4985611894235311,1.0011089970744875,0.07714739585214012,0.07714739585214012,0.0,-0.07952796305797882
BIO-USD,-0.0002568586656956102,0.011773450916344083,0.9789513006783173,13.569455201021592,-0.030528894653408307,0.0353511851883187,0.065880079841727,0.6768282351873662,1.2108388377452581,0.10762627849981621,0.10762627849981621,0.0,-0.10041841004183971
BMT-USD,-0.000146625429809345,0.007866192756317152,-0.20876758615580762,8.816328814252723,-0.02232975431455204,0.018831993807062734,0.04116174812161477,0.7680587863253564,0.9180432529625007,0.1227551533956873,0.1227551533956873,0.0,-0.083978558665874
