symbol,has_tech,has_fund,has_both
1000CHEEMS-USD,True,False,False
AAVE-USD,True,True,True
ADA-USD,True,True,True
APT-USD,True,False,False
ARB-USD,True,False,False
ASTER-USD,True,False,False
AVAX-USD,True,False,False
AVNT-USD,True,False,False
BIO-USD,True,False,False
BMT-USD,True,False,False
BNB-USD,True,True,True
BONK-USD,True,False,False
BTC-USD,True,False,False
CAKE-USD,True,False,False
CFX-USD,True,False,False
CRV-USD,True,False,False
DOGE-USD,True,False,False
DOT-USD,True,False,False
EDEN-USD,True,False,False
EIGEN-USD,True,False,False
ENA-USD,True,False,False
ETH-USD,True,False,False
FET-USD,True,False,False
FIL-USD,True,False,False
FLOKI-USD,True,False,False
FORM-USD,True,False,False
HBAR-USD,True,False,False
HEMI-USD,True,False,False
ICP-USD,True,False,False
LINEA-USD,True,False,False
LINK-USD,True,False,False
LISTA-USD,True,False,False
LTC-USD,True,False,False
MIRA-USD,True,False,False
NEAR-USD,True,False,False
OMNI-USD,True,False,False
ONDO-USD,True,False,False
OPEN-USD,True,False,False
PAXG-USD,True,False,False
PENDLE-USD,True,False,False
PENGU-USD,True,False,False
PEPE-USD,True,False,False
PLUME-USD,True,False,False
POL-USD,True,False,False
PUMP-USD,True,False,False
S-USD,True,False,False
SEI-USD,True,False,False
SHIB-USD,True,False,False
SOL-USD,True,False,False
SOMI-USD,True,False,False
STO-USD,True,False,False
SUI-USD,True,False,False
TAO-USD,True,False,False
TON-USD,True,False,False
TRUMP-USD,True,False,False
TRX-USD,True,False,False
TUT-USD,True,False,False
UNI-USD,True,False,False
VIRTUAL-USD,True,False,False
WIF-USD,True,False,False
WLD-USD,True,False,False
WLFI-USD,True,False,False
XLM-USD,True,False,False
XPL-USD,True,False,False
XRP-USD,True,False,False
ZEC-USD,True,False,False
ZEN-USD,True,False,False
